,MP,FG,FGA,3P,3PA,FT,FTA,TRB,STL,BLK,TOV,PF,+/-,PTS,Unnamed: 5,Opp
208,20.0,3.0,5.0,1.0,2.0,2.0,2.0,7.0,1.0,0.0,2.0,0.0,7.0,9.0,0,15
209,22.0,5.0,5.0,0.0,0.0,3.0,3.0,10.0,0.0,3.0,1.0,0.0,46.0,13.0,1,23
210,27.0,4.0,12.0,1.0,5.0,3.0,4.0,8.0,1.0,0.0,0.0,1.0,15.0,12.0,1,20
211,21.0,2.0,8.0,2.0,5.0,2.0,2.0,5.0,0.0,1.0,0.0,1.0,-6.0,8.0,0,13
212,19.0,4.0,9.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,-2.0,9.0,0,12
214,30.0,8.0,16.0,1.0,5.0,3.0,3.0,10.0,1.0,0.0,2.0,3.0,10.0,20.0,0,27
215,24.0,2.0,8.0,0.0,4.0,1.0,2.0,8.0,1.0,0.0,1.0,0.0,1.0,5.0,0,17
216,24.0,3.0,6.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,-2.0,7.0,1,23
217,22.0,6.0,13.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,2.0,1.0,1.0,12.0,0,25
218,22.0,2.0,4.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,13.0,4.0,0,18
219,27.0,5.0,10.0,0.0,1.0,2.0,2.0,9.0,0.0,1.0,2.0,0.0,-15.0,12.0,0,8
220,19.0,5.0,10.0,3.0,7.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,-17.0,13.0,1,17
221,25.0,2.0,11.0,0.0,2.0,4.0,4.0,9.0,0.0,1.0,2.0,0.0,-2.0,8.0,1,7
222,19.0,3.0,8.0,0.0,2.0,2.0,2.0,6.0,1.0,1.0,2.0,0.0,16.0,8.0,1,4
223,41.0,9.0,15.0,2.0,6.0,4.0,4.0,6.0,0.0,2.0,2.0,1.0,17.0,24.0,1,26
224,26.0,3.0,8.0,2.0,4.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,-5.0,8.0,0,27
225,22.0,3.0,14.0,3.0,9.0,2.0,2.0,3.0,1.0,0.0,1.0,1.0,-23.0,11.0,0,6
226,20.0,2.0,6.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,29.0,5.0,1,24
227,27.0,5.0,8.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,10.0,0,20
228,22.0,4.0,10.0,1.0,3.0,3.0,3.0,5.0,0.0,1.0,3.0,0.0,0.0,12.0,1,12
229,21.0,5.0,8.0,1.0,2.0,1.0,2.0,7.0,1.0,2.0,3.0,0.0,22.0,12.0,1,28
230,23.0,1.0,5.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,1.0,5.0,0.0,2.0,0,10
231,20.0,6.0,11.0,1.0,3.0,1.0,2.0,7.0,0.0,0.0,3.0,1.0,4.0,14.0,1,10
232,18.0,1.0,5.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,-10.0,2.0,0,25
233,19.0,4.0,9.0,2.0,4.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,-2.0,10.0,0,22
235,28.0,6.0,10.0,1.0,2.0,0.0,0.0,5.0,1.0,1.0,3.0,2.0,6.0,13.0,0,13
236,32.0,8.0,9.0,1.0,2.0,2.0,2.0,6.0,1.0,0.0,5.0,3.0,17.0,19.0,0,23
237,23.0,5.0,9.0,1.0,3.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,-7.0,11.0,1,15
238,19.0,7.0,15.0,1.0,4.0,1.0,1.0,10.0,2.0,0.0,1.0,2.0,22.0,16.0,1,14
239,27.0,7.0,15.0,1.0,2.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,15.0,1,11
240,22.0,8.0,14.0,2.0,7.0,0.0,0.0,3.0,1.0,1.0,3.0,4.0,-1.0,18.0,1,6
241,19.0,6.0,12.0,1.0,6.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,-3.0,13.0,0,14
242,26.0,2.0,9.0,1.0,3.0,0.0,0.0,11.0,0.0,1.0,0.0,1.0,28.0,5.0,1,27
243,21.0,4.0,6.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,13.0,10.0,0,26
244,28.0,7.0,12.0,4.0,6.0,1.0,1.0,9.0,0.0,0.0,1.0,2.0,-3.0,19.0,0,16
245,30.0,10.0,14.0,5.0,8.0,0.0,0.0,9.0,0.0,0.0,3.0,1.0,9.0,25.0,0,18
